siren;nom;nature;fiscalite;nb_com;ptot;insee;nom_com;ptot_com;pmun_com;pmun;siren_com
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01056;Boyeux-Saint-Jérôme;372;362;14290;210100566
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01068;Cerdon;792;779;14290;210100681
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01077;Challes-la-Montagne;191;189;14290;210100772
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01199;Jujurieux;2231;2191;14290;210101994
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01200;Labalme;216;214;14290;210102000
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01242;Mérignat;126;121;14290;210102422
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01273;Neuville-sur-Ain;1726;1693;14290;210102737
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01303;Poncin;1722;1688;14290;210103032
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01304;Pont-d'Ain;2913;2867;14290;210103040
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01314;Priay;1724;1685;14290;210103149
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01331;Saint-Alban;179;175;14290;210103313
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01363;Saint-Jean-le-Vieux;1763;1663;14290;210103636
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01404;Serrières-sur-Ain;130;128;14290;210104048
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;14632;01430;Varambon;547;535;14290;210104303
200040350;CC Bugey Sud;CC;FPU;50;34637;01006;Ambléon;115;109;33665;210100061
200040350;CC Bugey Sud;CC;FPU;50;34637;01009;Andert-et-Condon;351;342;33665;210100095
200040350;CC Bugey Sud;CC;FPU;50;34637;01015;Arboys en Bugey;649;637;33665;200053668
200040350;CC Bugey Sud;CC;FPU;50;34637;01019;Armix;24;24;33665;210100194
200040350;CC Bugey Sud;CC;FPU;50;34637;01022;Artemare;1230;1210;33665;210100228
200040350;CC Bugey Sud;CC;FPU;50;34637;01034;Belley;9447;9058;33665;210100343
200040350;CC Bugey Sud;CC;FPU;50;34637;01036;Belmont-Luthézieu;582;572;33665;210100368
200040350;CC Bugey Sud;CC;FPU;50;34637;01039;Béon;489;475;33665;210100392
200040350;CC Bugey Sud;CC;FPU;50;34637;01058;Brégnier-Cordon;875;856;33665;210100582
200040350;CC Bugey Sud;CC;FPU;50;34637;01059;Brénaz;101;100;33665;210100590
200040350;CC Bugey Sud;CC;FPU;50;34637;01061;Brens;1198;1171;33665;210100616
200040350;CC Bugey Sud;CC;FPU;50;34637;01073;Ceyzérieu;1051;1016;33665;210100731
200040350;CC Bugey Sud;CC;FPU;50;34637;01079;Champagne-en-Valromey;844;819;33665;210100798
200040350;CC Bugey Sud;CC;FPU;50;34637;01097;Chavornay;228;220;33665;210100970
200040350;CC Bugey Sud;CC;FPU;50;34637;01098;Chazey-Bons;1074;1053;33665;200063121
200040350;CC Bugey Sud;CC;FPU;50;34637;01100;Cheignieu-la-Balme;145;139;33665;210101002
200040350;CC Bugey Sud;CC;FPU;50;34637;01110;Colomieu;131;130;33665;210101101
200040350;CC Bugey Sud;CC;FPU;50;34637;01116;Contrevoz;518;503;33665;210101168
200040350;CC Bugey Sud;CC;FPU;50;34637;01117;Conzieu;154;146;33665;210101176
200040350;CC Bugey Sud;CC;FPU;50;34637;01133;Cressin-Rochefort;400;389;33665;210101333
200040350;CC Bugey Sud;CC;FPU;50;34637;01138;Culoz;3128;3071;33665;210101382
200040350;CC Bugey Sud;CC;FPU;50;34637;01141;Cuzieu;438;425;33665;210101416
200040350;CC Bugey Sud;CC;FPU;50;34637;01162;Flaxieu;67;67;33665;210101622
200040350;CC Bugey Sud;CC;FPU;50;34637;01338;Groslée-Saint-Benoit;1226;1193;33665;200060143
200040350;CC Bugey Sud;CC;FPU;50;34637;01187;Haut Valromey;725;693;33665;200053676
200040350;CC Bugey Sud;CC;FPU;50;34637;01193;Izieu;241;239;33665;210101937
200040350;CC Bugey Sud;CC;FPU;50;34637;01066;La Burbanche;71;71;33665;210100665
200040350;CC Bugey Sud;CC;FPU;50;34637;01208;Lavours;135;129;33665;210102083
200040350;CC Bugey Sud;CC;FPU;50;34637;01218;Lochieu;99;93;33665;210102182
200040350;CC Bugey Sud;CC;FPU;50;34637;01221;Lompnieu;114;113;33665;210102216
200040350;CC Bugey Sud;CC;FPU;50;34637;01227;Magnieu;484;473;33665;210102273
200040350;CC Bugey Sud;CC;FPU;50;34637;01234;Marignieu;180;173;33665;210102349
200040350;CC Bugey Sud;CC;FPU;50;34637;01239;Massignieu-de-Rives;638;624;33665;210102398
200040350;CC Bugey Sud;CC;FPU;50;34637;01268;Murs-et-Gélignieux;261;256;33665;210102687
200040350;CC Bugey Sud;CC;FPU;50;34637;01286;Parves et Nattages;961;938;33665;200059913
200040350;CC Bugey Sud;CC;FPU;50;34637;01294;Peyrieu;865;850;33665;210102943
200040350;CC Bugey Sud;CC;FPU;50;34637;01302;Pollieu;165;159;33665;210103024
200040350;CC Bugey Sud;CC;FPU;50;34637;01310;Prémeyzel;243;238;33665;210103107
200040350;CC Bugey Sud;CC;FPU;50;34637;01329;Rossillon;156;150;33665;210103297
200040350;CC Bugey Sud;CC;FPU;50;34637;01330;Ruffieu;186;182;33665;210103305
200040350;CC Bugey Sud;CC;FPU;50;34637;01341;Saint-Champ;164;162;33665;210103412
200040350;CC Bugey Sud;CC;FPU;50;34637;01358;Saint-Germain-les-Paroisses;430;426;33665;210103586
200040350;CC Bugey Sud;CC;FPU;50;34637;01372;Saint-Martin-de-Bavel;439;434;33665;210103727
